 __________________________________________________________________________________________________________________________________________________________________________________________________________________________ 
|    Username / Q#->   |  1  |  b1 |  2  |  3  |  4  |  5  |  6  |  7  |  8  |  9  |  10 |  11 |  12 |  13 |  14 |  15 |  16 |  17 |  18 |  19 |  20 |  21 |  22 |  23 |  24 |  25 |  26 |  27 |  25 | Last 29  |  Total   |
|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
|    Correct Answer    |  B  |  D  |  A  |  C  |  D  |  C  |  A  |  D  |  B  |  D  |  A  |  C  |  B  |  D  |  C  |  A  |  C  |  A  |  A  |  C  |  A  |  B  |  D  |  C  |  A  |  A  |  A  |  A  |  C  |          |          |
|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
|    NegatronThomas    |  B  |  D  |  A  |  C  |  D  |  C  |  D  |  C  |  B  |  D  |  A  |  C  |  B  |  D  |  C  |  B  |  C  |  D  |  A  |  D  |  A  |  A  |  A  |  C  |  B  |  A  |  B  |  A  |  C  |  15/24   |  15/24   |
|       505Films       |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  A  |     |   1/1    |   1/1    |
|      999forever      |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  C  |     |     |     |     |     |     |     |     |     |     |     |     |   1/1    |   1/1    |
|   AmbulanceChaser12  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  A  |     |   1/1    |   1/1    |
|   AndrewJamesDrake   |     |     |  A  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  A  |     |     |     |     |     |     |     |     |   2/2    |   2/2    |
|       ansible47      |     |     |     |     |     |     |  A  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  D  |     |   1/2    |   1/2    |
|     Apprentice57     |     |     |  A  |     |  D  |     |  A  |     |  B  |     |  A  |     |  B  |     |  D  |     |  C  |     |  A  |     |  A  |     |  B  |  B  |  D  |     |  D  |  A  |  D  |  10/16   |  10/16   |
|         arcv2        |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  A  |     |     |     |     |     |     |     |     |     |     |   1/1    |   1/1    |
|      beetle1211      |     |     |  B  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |   0/1    |   0/1    |
|     Bukowskified     |     |     |     |     |     |     |     |     |  B  |     |  D  |     |  B  |     |  D  |     |  C  |     |  A  |     |  A  |     |  A  |  B  |  C  |     |  B  |  A  |  D  |   6/13   |   6/13   |
|  CharlesDickensABox  |     |     |     |     |     |     |  A  |     |  B  |     |     |     |     |     |     |     |     |     |     |     |  A  |     |  A  |     |  D  |     |     |  A  |  C  |   5/7    |   5/7    |
|    DeliveratorMatt   |     |     |     |     |     |     |  D  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |   0/1    |   0/1    |
|       demitris       |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  D  |     |     |   0/1    |   0/1    |
|        Eldias        |     |     |  A  |     |     |     |     |     |     |     |  A  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |   2/2    |   2/2    |
|     EmprahCalgar     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  D  |     |     |     |  A  |     |     |     |     |     |     |     |     |   1/2    |   1/2    |
|       fauxjolly      |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  C  |   1/1    |   1/1    |
|      felineswell     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  C  |   1/1    |   1/1    |
|  GermanDeath-Reggae  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  C  |   1/1    |   1/1    |
|        giglia        |     |     |     |     |     |     |     |     |     |     |  A  |     |  B  |     |     |     |  C  |     |  A  |     |  A  |     |  A  |     |     |     |     |     |     |   5/6    |   5/6    |
|  GreenEyedTrombonist |     |     |  A  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |   1/1    |   1/1    |
