 __________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________ 
|    Username / Q#->   |  1  |  b1 |  2  |  3  |  4  |  5  |  6  |  7  |  8  |  9  |  10 |  11 |  12 |  13 |  14 |  15 |  16 |  17 |  18 |  19 |  20 |  21 |  22 |  23 |  24 |  25 |  26 |  27 |  28 |  29 |  30 |  31 |  32 | Last 33  |  Total   |
|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
|    Correct Answer    |  B  |  D  |  A  |  C  |  D  |  C  |  A  |  D  |  B  |  D  |  A  |  C  |  B  |  D  |  C  |  A  |  C  |  A  |  A  |  C  |  A  |  B  |  D  |  C  |  A  |  A  |  A  |  A  |  C  |  B  |  A  |  C  |  D  |          |          |
|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
|    NegatronThomas    |  B  |  D  |  A  |  C  |  D  |  C  |  D  |  C  |  B  |  D  |  A  |  C  |  B  |  D  |  C  |  B  |  C  |  D  |  A  |  D  |  A  |  A  |  A  |  C  |  B  |  A  |  B  |  A  |  C  |  B  |  A  |  A  |  D  |  18/28   |  18/28   |
|  ThomasSecondChance  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  D  |  D  |  C  |  D  |  B  |   0/5    |   0/5    |
|       505Films       |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  A  |     |     |     |     |     |   1/1    |   1/1    |
|      999forever      |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  C  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |   1/1    |   1/1    |
|   AmbulanceChaser12  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  A  |     |     |     |     |     |   1/1    |   1/1    |
|   AndrewJamesDrake   |     |     |  A  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  A  |     |     |     |     |     |     |     |     |     |     |     |     |   2/2    |   2/2    |
|       ansible47      |     |     |     |     |     |     |  A  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  D  |     |     |     |     |     |   1/2    |   1/2    |
|     Apprentice57     |     |     |  A  |     |  D  |     |  A  |     |  B  |     |  A  |     |  B  |     |  D  |     |  C  |     |  A  |     |  A  |     |  B  |  B  |  D  |     |  D  |  A  |  D  |  B  |  A  |  D  |  D  |  13/20   |  13/20   |
|         arcv2        |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  A  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |   1/1    |   1/1    |
|      BeeIll8276      |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  C  |     |   1/1    |   1/1    |
|      beetle1211      |     |     |  B  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |   0/1    |   0/1    |
