 ______________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________ 
|    Username / Q#->   |  1  |  b1 |  2  |  3  |  4  |  5  |  6  |  7  |  8  |  9  |  10 |  11 |  12 |  13 |  14 |  15 |  16 |  17 |  18 |  19 |  20 |  21 |  22 |  23 |  24 |  25 |  26 |  27 |  28 |  29 |  30 |  31 |  32 |  33 |  34 | Last 35  |  Total   |
|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
|    Correct Answer    |  B  |  D  |  A  |  C  |  D  |  C  |  A  |  D  |  B  |  D  |  A  |  C  |  B  |  D  |  C  |  A  |  C  |  A  |  A  |  C  |  A  |  B  |  D  |  C  |  A  |  A  |  A  |  A  |  C  |  B  |  A  |  C  |  D  |  C  |  B  |          |          |
|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
|    NegatronThomas    |  B  |  D  |  A  |  C  |  D  |  C  |  D  |  C  |  B  |  D  |  A  |  C  |  B  |  D  |  C  |  B  |  C  |  D  |  A  |  D  |  A  |  A  |  A  |  C  |  B  |  A  |  B  |  A  |  C  |  B  |  A  |  A  |  D  |  D  |  B  |  19/30   |  19/30   |
|  ThomasSecondChance  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  D  |  D  |  C  |  D  |  B  |  C  |  C  |   1/7    |   1/7    |
|       505Films       |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  A  |     |     |     |     |     |     |     |   1/1    |   1/1    |
|      999forever      |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  C  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |   1/1    |   1/1    |
|   AmbulanceChaser12  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  A  |     |     |     |     |     |     |     |   1/1    |   1/1    |
|   AndrewJamesDrake   |     |     |  A  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  A  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |   2/2    |   2/2    |
|       ansible47      |     |     |     |     |     |     |  A  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  D  |     |     |     |     |     |  D  |     |   1/3    |   1/3    |
|     Apprentice57     |     |     |  A  |     |  D  |     |  A  |     |  B  |     |  A  |     |  B  |     |  D  |     |  C  |     |  A  |     |  A  |     |  B  |  B  |  D  |     |  D  |  A  |  D  |  B  |  A  |  D  |  D  |  C  |  C  |  14/22   |  14/22   |
|         arcv2        |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  A  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |   1/1    |   1/1    |
|        arui091       |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  A  |     |   0/1    |   0/1    |
|      BeeIll8276      |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  C  |     |     |     |   1/1    |   1/1    |
|      beetle1211      |     |     |  B  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |   0/1    |   0/1    |
|      Brass_Lion      |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  B  |   1/1    |   1/1    |
|     bryanrgillis     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  B  |   1/1    |   1/1    |
|     Bukowskified     |     |     |     |     |     |     |     |     |  B  |     |  D  |     |  B  |     |  D  |     |  C  |     |  A  |     |  A  |     |  A  |  B  |  C  |     |  B  |  A  |  D  |  B  |  A  |  D  |  D  |  C  |  B  |  11/19   |  11/19   |
