 ________________________________________________________________________________________________________ 
|    Username / Q#->   |  62 |  63 |  64 |  65 |  66 |  67 |  68 |  69 |  70 |  71 | Last 10  |  Total   |
|--------------------------------------------------------------------------------------------------------|
|    Correct Answer    |  B  |  B  |  A  |  B  |  B  |  C  |  D  |  C  |  B  |  A  |          |          |
|--------------------------------------------------------------------------------------------------------|
|    NegatronThomas    |  D  |  A  |  D  |  B  |  C  |  B  |  C  |  C  |  C  |  D  |   2/10   |  38/67   |
|  ThomasSecondChance  |  B  |  B  |  A  |  D  |  B  |  C  |  A  |  D  |  B  |  A  |   7/10   |  14/44   |
|      1Blackfaer      |  B  |     |  A  |  B  |     |     |     |  C  |     |     |   4/4    |   5/5    |
|     Apprentice57     |  B  |  B  |  D  |  C  |  B  |  D  |  C  |  C  |  C  |  A  |   5/10   |  35/59   |
|     Bukowskified     |  D  |  A  |  D  |  B  |     |     |  D  |  B  |  B  |  A  |   4/8    |  29/54   |
|  CharlesDickensABox  |     |     |     |     |     |  D  |  D  |     |     |     |   1/2    |  27/32   |
|      chayashida      |  B  |  A  |     |     |     |  D  |  C  |  C  |  C  |  B  |   2/7    |   7/13   |
|        Eldias        |  B  |  D  |     |     |     |     |     |     |     |  A  |   2/3    |  16/21   |
|     fckinsurance     |  B  |     |     |  B  |     |     |     |     |     |     |   2/2    |   4/4    |
|      IMM_Austin      |     |     |     |     |     |     |  D  |     |  B  |     |   2/2    |   4/4    |
|   its_sandwich_time  |  B  |  B  |  A  |  B  |  B  |  B  |  A  |  C  |  C  |  A  |   7/10   |  36/48   |
|       MegaTrain      |     |  B  |     |     |     |     |  C  |     |  B  |     |   2/3    |   5/6    |
|      MikeyMalloy     |     |     |     |     |     |  B  |     |     |     |  A  |   1/2    |   1/2    |
|       pmags3000      |     |     |     |     |     |     |  C  |  B  |     |     |   0/2    |   0/4    |
|       RampantAI      |     |     |     |     |     |     |     |  D  |  C  |     |   0/2    |   0/2    |
|   Skeptical_Monkie   |     |     |  A  |     |     |  D  |  D  |     |     |     |   2/3    |   2/3    |
|     takethebisque    |  B  |     |     |     |     |     |     |  C  |     |     |   2/2    |   8/8    |
|       TheoCaro       |  B  |     |     |     |     |  D  |  C  |  C  |     |     |   2/4    |   5/8    |
|      wrosecrans      |     |     |  A  |     |     |  D  |     |     |     |     |   1/2    |   1/2    |
|   Cultural_Boat4007  |     |  B  |     |     |     |     |     |     |     |     |   1/1    |   1/1    |
|     el_farmerino     |     |     |     |     |     |  B  |     |     |     |     |   0/1    |   0/1    |
|       freakers       |     |     |     |     |     |     |     |     |     |  A  |   1/1    |   3/3    |
|        giglia        |     |     |     |     |     |     |  D  |     |     |     |   1/1    |   9/11   |
|        Hirvox        |     |     |     |     |     |  D  |     |     |     |     |   0/1    |   0/1    |
|      jasonrennie     |  A  |     |     |     |     |     |     |     |     |     |   0/1    |   1/2    |
|   NotmyRealNameJohn  |     |     |  A  |     |     |     |     |     |     |     |   1/1    |   1/1    |
|   NotmyrealNameJohn  |     |  B  |     |     |     |     |     |     |     |     |   1/1    |   1/1    |
| Professional_Law4639 |     |     |     |     |  B  |     |     |     |     |     |   1/1    |   1/1    |
|        rctbob        |     |     |     |     |  B  |     |     |     |     |     |   1/1    |   2/2    |
|       scaliper       |     |     |     |     |     |     |     |     |     |  A  |   1/1    |   1/1    |
|      Shadowfalx      |     |     |     |     |     |     |  C  |     |     |     |   0/1    |   1/4    |
|     SoloPorUnBeso    |     |     |     |     |     |  B  |     |     |     |     |   0/1    |   1/3    |
|  southernengineering |     |     |     |     |     |     |  D  |     |     |     |   1/1    |   1/1    |
| TearsFallWithoutTain |     |     |     |     |     |  C  |     |     |     |     |   1/1    |   1/1    |
|      TheButtonz      |     |     |     |     |  D  |     |     |     |     |     |   0/1    |   0/1    |
|       undiwahn       |     |     |     |     |     |  B  |     |     |     |     |   0/1    |   0/1    |
|--------------------------------------------------------------------------------------------------------|
|        Total:        | 8/11| 5/9 | 5/8 | 5/6 | 4/6 | 1/14| 6/14| 7/10| 3/8 | 7/9 |  51/95   | 247/378  |
|--------------------------------------------------------------------------------------------------------|

